index_date,vale_(reais)
2010-03-01,6.6257468984441985
2010-04-01,-3.4343343154873978
2010-05-01,0.1707242828412987
2010-06-01,-6.032734081622003
2010-07-01,3.0881611256226975
2010-08-01,-0.40533775111229886
2010-09-01,4.229941500404202
2010-10-01,0.1412110837903029
2010-11-01,0.4011923875105978
2010-12-01,0.6927079344548019
2011-01-01,0.7581856660842945
2011-02-01,-0.4085440096686952
2011-03-01,-2.5434555110814046
2011-04-01,-1.429257270269396
2011-05-01,1.812651572538698
2011-06-01,-0.34349078074939854
2011-07-01,-1.6532033263152996
2011-08-01,-4.169470395007004
2011-09-01,-3.081776829685495
2011-10-01,0.2617808553539973
2011-11-01,-1.8161097155630017
2011-12-01,-2.743884901665197
2012-01-01,4.6193841640915
2012-02-01,-1.238585848049098
2012-03-01,-0.3412925478722002
2012-04-01,-0.3889012229706026
2012-05-01,-2.301886305241503
2012-06-01,2.761394116621304
2012-07-01,-4.857980895461303
2012-08-01,-2.3851350295422975
2012-09-01,2.3023947024600986
2012-10-01,0.35623702259709944
2012-11-01,0.06791586904299862
2012-12-01,4.385702135084301
2013-01-01,-2.5722634364277965
2013-02-01,-2.6715999273897992
2013-03-01,-2.2004721986120046
2013-04-01,-0.8875411825016002
2013-05-01,-1.728502013775099
2013-06-01,-1.6669700318682992
2013-07-01,0.6825713122478021
2013-08-01,4.406221100062698
2013-09-01,-0.17724696998009648
2013-10-01,0.7574564552951983
2013-11-01,-0.17228590626589835
2013-12-01,-0.2149427437732001
2014-01-01,-3.005138211893204
2014-02-01,-0.5108479896220999
2014-03-01,-0.8896374817809978
2014-04-01,-1.9807840235834
2014-05-01,0.6737261008392004
2014-06-01,0.5522763737928003
2014-07-01,1.9230473895320976
2014-08-01,-2.3740166521406003
2014-09-01,-2.535186731969798
2014-10-01,-2.1808793161638995
2014-11-01,-1.954224813765002
2014-12-01,-1.4496221806924012
2015-01-01,-3.294513147052797
2015-02-01,2.2837341841742997
2015-03-01,-2.7766850864408994
2015-04-01,4.436295431495299
2015-05-01,-1.5356234905493018
2015-06-01,-2.071993137317399
2015-07-01,-1.1698865673864987
2015-08-01,0.664710251233398
2015-09-01,-1.3858439917880006
2015-10-01,0.3738648952399011
2015-11-01,-4.1281488514673
2015-12-01,-0.22584164508620042
2016-01-01,-3.129142403086579
2016-02-01,1.8911827197116793
2016-03-01,3.6435941704230004
2016-04-01,4.2118539394336985
2016-05-01,-4.875519738383298
2016-06-01,1.8279027280439006
2016-07-01,1.549498936629199
2016-08-01,-0.9052610149263991
2016-09-01,1.1093790239102006
2016-10-01,4.337454338548497
2016-11-01,5.404888353083301
2016-12-01,-2.6067485533299006
2017-01-01,7.178549876393998
2017-02-01,-0.04918529928939819
2017-03-01,-2.292184191866898
2017-04-01,-3.033444923010702
2017-05-01,0.3296784990103028
2017-06-01,1.4186680174715
2017-07-01,1.1559768699237978
2017-08-01,5.089602456914001
2017-09-01,-2.345157164509601
2017-10-01,0.4126359000886026
2017-11-01,2.0463679065234004
2017-12-01,4.550176033922995
2018-01-01,2.4611976127692046
2018-02-01,2.6338831066497974
2018-03-01,-2.0902173009855005
2018-04-01,4.953416528868402
2018-05-01,2.6185456257667994
2018-06-01,-1.6123450838571998
2018-07-01,3.4218423139438983
2018-08-01,1.4138451324254007
2018-09-01,8.5390596996696
2018-10-01,-2.784278775244296
2018-11-01,-5.9288839494588
2018-12-01,-2.847323157222604
2019-01-01,-4.181451377488401
2019-02-01,0.6590778919607985
2019-03-01,4.413244428950101
2019-04-01,-2.4354753204662956
2019-05-01,-0.760259297065204
2019-06-01,2.0923443839811995
2019-07-01,-3.2116927880061965
2019-08-01,-1.3528439264241996
2019-09-01,4.300278315263498
2019-10-01,-0.20836928825750078
2019-11-01,0.9506732657753005
2019-12-01,1.908605184608298
2020-01-01,-1.7499619003140978
2020-02-01,-6.6652961626351015
2020-03-01,-0.5825161656083964
2020-04-01,0.25818193720149907
2020-05-01,7.727296018282601
2020-06-01,2.1821497847543014
2020-07-01,3.4274059656072993
2020-08-01,2.6328421221589977
2020-09-01,2.394155230306602
2020-10-01,2.087365408037101
2020-11-01,15.336644358571903
2020-12-01,6.2015685101339955
2021-01-01,3.116538347129193
2021-02-01,5.874201699355012
2021-03-01,4.6354844267846005
2021-04-01,7.376070927576492
2021-05-01,3.8012222962859994
2021-06-01,-2.4671595860349953
2021-07-01,-5.951462664504007
2021-08-01,-3.421066536768393
2021-09-01,-18.277747854066206
2021-10-01,-4.046130865048099
2021-11-01,-4.466441481541594
