index_date,vale_(reais),pig_iron_(tonne)
2010-02-01,48.7381756822147,2599.18166784945
2010-03-01,55.3639225806589,2635.83298135182
2010-04-01,51.9295882651715,2540.36853068214
2010-05-01,52.1003125480128,2586.57927216444
2010-06-01,46.0675784663908,2788.78326717823
2010-07-01,49.1557395920135,2624.87185823992
2010-08-01,48.7504018409012,2571.68886445297
2010-09-01,52.9803433413054,2684.83502045618
2010-10-01,53.1215544250957,2635.64359685
2010-11-01,53.5227468126063,2595.04467254148
2010-12-01,54.2154547470611,2476.75761746321
2011-01-01,54.9736404131454,2700.99969626655
2011-02-01,54.5650964034767,2780.47530129138
2011-03-01,52.0216408923953,2754.90102323886
2011-04-01,50.5923836221259,2781.95309773179
2011-05-01,52.4050351946646,3075.05493364286
2011-06-01,52.0615444139152,2858.04245036045
2011-07-01,50.4083410875999,2863.05346467183
2011-08-01,46.2388706925929,2267.58934415292
2011-09-01,43.1570938629074,2156.69359023091
2011-10-01,43.4188747182614,2086.50820749198
2011-11-01,41.6027650026984,2233.94909979886
2011-12-01,38.8588801010332,2244.94708774799
2012-01-01,43.4782642651247,2251.22407352529
2012-02-01,42.2396784170756,2311.49510143636
2012-03-01,41.8983858692034,2341.80681254411
2012-04-01,41.5094846462328,2343.63940698311
2012-05-01,39.2075983409913,2231.1773417879
2012-06-01,41.9689924576126,2225.04480068953
2012-07-01,37.1110115621513,2254.1127705389
2012-08-01,34.725876532609,2118.95511769781
2012-09-01,37.0282712350691,2189.02687536447
2012-10-01,37.3845082576662,2321.82162864451
2012-11-01,37.4524241267092,2259.56125460849
2012-12-01,41.8381262617935,2173.17983803859
2013-01-01,39.2658628253657,2210.59234628976
2013-02-01,36.5942628979759,2166.83085460171
2013-03-01,34.3937906993639,2105.04859394887
2013-04-01,33.5062495168623,2244.82023161239
2013-05-01,31.7777475030872,2240.22595503766
2013-06-01,30.1107774712189,2186.36979632076
2013-07-01,30.7933487834667,2162.56799507918
2013-08-01,35.1995698835294,2218.63737878401
2013-09-01,35.0223229135493,2226.46374249852
2013-10-01,35.7797793688445,2126.68799955771
2013-11-01,35.6074934625786,2114.48302968043
2013-12-01,35.3925507188054,2168.13362998736
2014-01-01,32.3874125069122,2129.9048072354
2014-02-01,31.8765645172901,2137.55724457796
2014-03-01,30.9869270355091,2205.28500070249
2014-04-01,29.0061430119257,2089.0021216739
2014-05-01,29.6798691127649,2182.57406648709
2014-06-01,30.2321454865577,2264.90709128946
2014-07-01,32.1551928760898,2303.34573513461
2014-08-01,29.7811762239492,2341.86499174416
2014-09-01,27.2459894919794,2398.78876695924
2014-10-01,25.0651101758155,2296.77718941751
2014-11-01,23.1108853620505,2203.61647798108
2014-12-01,21.6612631813581,2407.75788782507
2015-01-01,18.3667500343053,2530.9674347304
2015-02-01,20.6504842184796,2402.59312160998
2015-03-01,17.8737991320387,2255.02337611619
2015-04-01,22.310094563534,2399.68157171455
2015-05-01,20.7744710729847,2470.72034854447
2015-06-01,18.7024779356673,2403.79300587271
2015-07-01,17.5325913682808,2318.7008475418
2015-08-01,18.1973016195142,2275.85398871455
2015-09-01,16.8114576277262,2191.69658764638
2015-10-01,17.1853225229661,2300.40546730276
2015-11-01,13.0571736714988,2192.24316863901
2015-12-01,12.8313320264126,2246.11715442106
2016-01-01,9.70218962332602,2139.22653990951
2016-02-01,11.5933723430377,2148.22770523114
2016-03-01,15.2369665134607,2083.742066884
2016-04-01,19.4488204528944,1877.20613767848
2016-05-01,14.5733007145111,2145.59421960659
2016-06-01,16.401203442555,2206.62516450544
2016-07-01,17.9507023791842,2307.55483772716
2016-08-01,17.0454413642578,2311.46542219584
2016-09-01,18.154820388168,2285.01370854986
2016-10-01,22.4922747267165,2328.6687140799
2016-11-01,27.8971630797998,2318.44739602195
2016-12-01,25.2904145264699,2157.52106592988
2017-01-01,32.4689644028639,2298.77706413749
2017-02-01,32.4197791035745,2290.14375063969
2017-03-01,30.1275949117076,2368.09675777292
2017-04-01,27.0941499886969,2438.32261427532
2017-05-01,27.4238284877072,2567.81644964492
2017-06-01,28.8424965051787,2354.23442592002
2017-07-01,29.9984733751025,2281.75031005516
2017-08-01,35.0880758320165,2389.80802835811
