index_date,vale_(reais),pig_iron_(tonne),quebra_1
2021-12-01,,32.301797,0
2022-01-01,,-7.836434,0
2022-02-01,,-136.035474,0
2022-03-01,,99.525592,0
2022-04-01,,-47.861986,0
2022-05-01,,32.534533,0
2022-06-01,,-32.606169,0
2022-07-01,,73.526297,0
2022-08-01,,28.885412,0
2022-09-01,,-33.101517,0
2022-10-01,,50.839128,0
2022-11-01,,-48.477939,0
