index_date,vale_(reais)_observed,vale_(reais)_fitted,vale_(reais)_predicted,std_error,ci_95_lower,ci_95_upper
2010-02-01,48.7381756822147,,,,,
2010-03-01,55.3639225806589,,,,,
2010-04-01,51.9295882651715,,,,,
2010-05-01,52.1003125480128,,,,,
2010-06-01,46.0675784663908,,,,,
2010-07-01,49.1557395920135,,,,,
2010-08-01,48.7504018409012,,,,,
2010-09-01,52.9803433413054,,,,,
2010-10-01,53.1215544250957,,,,,
2010-11-01,53.5227468126063,,,,,
2010-12-01,54.2154547470611,,,,,
2011-01-01,54.9736404131454,,,,,
2011-02-01,54.5650964034767,,,,,
2011-03-01,52.0216408923953,,,,,
2011-04-01,50.5923836221259,,,,,
2011-05-01,52.4050351946646,,,,,
2011-06-01,52.0615444139152,,,,,
2011-07-01,50.4083410875999,,,,,
2011-08-01,46.2388706925929,,,,,
2011-09-01,43.1570938629074,,,,,
2011-10-01,43.4188747182614,,,,,
2011-11-01,41.6027650026984,,,,,
2011-12-01,38.8588801010332,,,,,
2012-01-01,43.4782642651247,,,,,
2012-02-01,42.2396784170756,,,,,
2012-03-01,41.8983858692034,,,,,
2012-04-01,41.5094846462328,,,,,
2012-05-01,39.2075983409913,,,,,
2012-06-01,41.9689924576126,,,,,
2012-07-01,37.1110115621513,,,,,
2012-08-01,34.725876532609,,,,,
2012-09-01,37.0282712350691,,,,,
2012-10-01,37.3845082576662,,,,,
2012-11-01,37.4524241267092,,,,,
2012-12-01,41.8381262617935,,,,,
2013-01-01,39.2658628253657,44.52298603085413,,,,
2013-02-01,36.5942628979759,38.14088336267112,,,,
2013-03-01,34.3937906993639,38.96339780866515,,,,
2013-04-01,33.5062495168623,33.25471523905732,,,,
2013-05-01,31.7777475030872,33.494351588289874,,,,
2013-06-01,30.1107774712189,29.359694651756158,,,,
2013-07-01,30.7933487834667,30.49238724988732,,,,
2013-08-01,35.1995698835294,30.433370839489935,,,,
2013-09-01,35.0223229135493,37.29338246978289,,,,
2013-10-01,35.7797793688445,35.12842505077934,,,,
2013-11-01,35.6074934625786,35.778921334390674,,,,
2013-12-01,35.3925507188054,37.20188440188192,,,,
2014-01-01,32.3874125069122,35.94708064274735,,,,
2014-02-01,31.8765645172901,31.34210997765784,,,,
2014-03-01,30.9869270355091,33.46723401429349,,,,
2014-04-01,29.0061430119257,29.043530327054413,,,,
2014-05-01,29.6798691127649,29.56375211738445,,,,
2014-06-01,30.2321454865577,28.865800976668776,,,,
2014-07-01,32.1551928760898,30.605281037399507,,,,
2014-08-01,29.7811762239492,32.20039599501968,,,,
2014-09-01,27.2459894919794,30.91660004253557,,,,
2014-10-01,25.0651101758155,27.556659775640476,,,,
2014-11-01,23.1108853620505,24.279069948273865,,,,
2014-12-01,21.6612631813581,24.510926461698958,,,,
2015-01-01,18.3667500343053,23.567533430905694,,,,
2015-02-01,20.6504842184796,16.809285938877057,,,,
2015-03-01,17.8737991320387,21.118746381770272,,,,
2015-04-01,22.310094563534,17.48719651835519,,,,
2015-05-01,20.7744710729847,22.657376229848126,,,,
2015-06-01,18.7024779356673,20.369282244147627,,,,
2015-07-01,17.5325913682808,17.566763401431775,,,,
2015-08-01,18.1973016195142,17.05181730923516,,,,
2015-09-01,16.8114576277262,19.172776771124497,,,,
2015-10-01,17.1853225229661,18.02211587834049,,,,
2015-11-01,13.0571736714988,16.719541756474328,,,,
2015-12-01,12.8313320264126,14.820702876536945,,,,
2016-01-01,9.70218962332602,12.892410447548412,,,,
2016-02-01,11.5933723430377,8.732507003404232,,,,
2016-03-01,15.2369665134607,12.031379776117596,,,,
2016-04-01,19.4488204528944,13.424225207691816,,,,
2016-05-01,14.5733007145111,20.61436794033601,,,,
2016-06-01,16.401203442555,14.591058638830532,,,,
2016-07-01,17.9507023791842,16.75624232901258,,,,
2016-08-01,17.0454413642578,18.84650189573335,,,,
2016-09-01,18.154820388168,18.09016421481237,,,,
2016-10-01,22.4922747267165,19.438923294294185,,,,
2016-11-01,27.8971630797998,22.829333379586465,,,,
2016-12-01,25.2904145264699,28.71389170663268,,,,
2017-01-01,32.4689644028639,25.90573532408427,,,,
2017-02-01,32.4197791035745,31.94554118269766,,,,
2017-03-01,30.1275949117076,33.00951828704828,,,,
2017-04-01,27.0941499886969,29.18418546886553,,,,
2017-05-01,27.4238284877072,28.07212724384373,,,,
2017-06-01,28.8424965051787,26.530029713914804,,,,
2017-07-01,29.9984733751025,29.003573861114724,,,,
2017-08-01,35.0880758320165,30.920613531863125,,,,
2017-09-01,32.7429186675069,35.95534507407979,,,,
2017-10-01,33.1555545675955,32.67168330521228,,,,
2017-11-01,35.2019224741189,33.353741428750695,,,,
2017-12-01,39.7520985080419,35.88601902534866,,,,
2018-01-01,42.2132961208111,38.811949091514364,,,,
2018-02-01,44.8471792274609,42.75521681028739,,,,
2018-03-01,42.7569619264754,45.43324510982422,,,,
2018-04-01,47.7103784553438,42.785480735508514,,,,
2018-05-01,50.3289240811106,47.69543784351474,,,,
2018-06-01,48.7165789972534,50.734314333042974,,,,
2018-07-01,52.1384213111973,48.83665966200056,,,,
2018-08-01,53.5522664436227,51.95175935684458,,,,
2018-09-01,62.0913261432923,55.39894440695075,,,,
2018-10-01,59.307047368048,62.239439494529655,,,,
2018-11-01,53.3781634185892,57.859000404496214,,,,
2018-12-01,50.5308402613666,54.05990575297206,,,,
2019-01-01,46.3493888838782,49.37300718221666,,,,
2019-02-01,47.008466775839,46.843260317181354,,,,
2019-03-01,51.4217112047891,48.447692025381926,,,,
