index_date,pig_iron_(tonne)
2010-02-01,2599.18166784945
2010-03-01,2635.83298135182
2010-04-01,2540.36853068214
2010-05-01,2586.57927216444
2010-06-01,2788.78326717823
2010-07-01,2624.87185823992
2010-08-01,2571.68886445297
2010-09-01,2684.83502045618
2010-10-01,2635.64359685
2010-11-01,2595.04467254148
2010-12-01,2476.75761746321
2011-01-01,2700.99969626655
2011-02-01,2780.47530129138
2011-03-01,2754.90102323886
2011-04-01,2781.95309773179
2011-05-01,3075.05493364286
2011-06-01,2858.04245036045
2011-07-01,2863.05346467183
2011-08-01,2267.58934415292
2011-09-01,2156.69359023091
2011-10-01,2086.50820749198
2011-11-01,2233.94909979886
2011-12-01,2244.94708774799
2012-01-01,2251.22407352529
2012-02-01,2311.49510143636
2012-03-01,2341.80681254411
2012-04-01,2343.63940698311
2012-05-01,2231.1773417879
2012-06-01,2225.04480068953
2012-07-01,2254.1127705389
2012-08-01,2118.95511769781
2012-09-01,2189.02687536447
2012-10-01,2321.82162864451
2012-11-01,2259.56125460849
2012-12-01,2173.17983803859
2013-01-01,2210.59234628976
2013-02-01,2166.83085460171
2013-03-01,2105.04859394887
2013-04-01,2244.82023161239
2013-05-01,2240.22595503766
2013-06-01,2186.36979632076
2013-07-01,2162.56799507918
2013-08-01,2218.63737878401
2013-09-01,2226.46374249852
2013-10-01,2126.68799955771
2013-11-01,2114.48302968043
2013-12-01,2168.13362998736
2014-01-01,2129.9048072354
2014-02-01,2137.55724457796
2014-03-01,2205.28500070249
2014-04-01,2089.0021216739
2014-05-01,2182.57406648709
2014-06-01,2264.90709128946
2014-07-01,2303.34573513461
2014-08-01,2341.86499174416
2014-09-01,2398.78876695924
2014-10-01,2296.77718941751
2014-11-01,2203.61647798108
2014-12-01,2407.75788782507
2015-01-01,2530.9674347304
2015-02-01,2402.59312160998
2015-03-01,2255.02337611619
2015-04-01,2399.68157171455
2015-05-01,2470.72034854447
2015-06-01,2403.79300587271
2015-07-01,2318.7008475418
2015-08-01,2275.85398871455
2015-09-01,2191.69658764638
2015-10-01,2300.40546730276
2015-11-01,2192.24316863901
2015-12-01,2246.11715442106
2016-01-01,2139.22653990951
2016-02-01,2148.22770523114
2016-03-01,2083.742066884
2016-04-01,1877.20613767848
2016-05-01,2145.59421960659
2016-06-01,2206.62516450544
2016-07-01,2307.55483772716
2016-08-01,2311.46542219584
2016-09-01,2285.01370854986
2016-10-01,2328.6687140799
2016-11-01,2318.44739602195
2016-12-01,2157.52106592988
2017-01-01,2298.77706413749
2017-02-01,2290.14375063969
2017-03-01,2368.09675777292
2017-04-01,2438.32261427532
2017-05-01,2567.81644964492
2017-06-01,2354.23442592002
2017-07-01,2281.75031005516
2017-08-01,2389.80802835811
2017-09-01,2445.76647885049
2017-10-01,2337.00561954182
2017-11-01,2435.9772627353
2017-12-01,2364.15299445213
2018-01-01,2351.72867532184
2018-02-01,2378.37688050838
2018-03-01,2451.77145476192
2018-04-01,2383.1146728275
2018-05-01,2318.80534892155
2018-06-01,2460.72681177141
2018-07-01,2433.05791540494
2018-08-01,2285.44453538
2018-09-01,2547.58660935827
2018-10-01,2406.55458673016
2018-11-01,2288.00474755509
2018-12-01,2355.92663371809
2019-01-01,2414.57789076152
2019-02-01,2384.81917187485
2019-03-01,2379.83439742777
2019-04-01,2421.22006908868
2019-05-01,2392.78241533393
2019-06-01,2368.62072203468
2019-07-01,1845.78504967622
2019-08-01,1872.10938766907
2019-09-01,1918.92620932628
2019-10-01,2083.13146794174
2019-11-01,2116.1554741552
2019-12-01,2146.89257528969
2020-01-01,2118.87895679629
2020-02-01,2337.8485092947
2020-03-01,2133.43984399366
2020-04-01,1788.36099267275
2020-05-01,1789.5502280783
2020-06-01,1752.23538620982
2020-07-01,1985.66504429422
2020-08-01,2077.09029168043
2020-09-01,2030.27883194521
2020-10-01,2077.24850583619
2020-11-01,2271.173959383
2020-12-01,2241.80305379338
2021-01-01,2362.13373531401
2021-02-01,2399.58690679697
2021-03-01,2224.15366317237
2021-04-01,2383.97705334073
2021-05-01,2519.13315107288
2021-06-01,2498.14061986198
2021-07-01,2433.23743893327
2021-08-01,2456.75141946952
2021-09-01,2509.0904907745
2021-10-01,2165.60319426585
2021-11-01,2300.38613161082
